condition,light,speed,safe,start_time,end_time_onRoad,duration_toRoad,ConlitionTime,end_time_trial,Stop_orNot,confidence
light,green,20,Safe,109.8111,115.6667,5.8556,none,123.8333,1,5
light,green,20,Safe,107.6556,113.4556,5.8,none,121.6222,1,5
light,green,20,Safe,60.83334,66.86667,6.03333,none,75.03333,1,5
light,green,20,Safe,110.2667,116.6444,6.3777,none,124.8111,1,5
light,green,20,Safe,163.8111,169.7667,5.9556,none,176.9333,1,4
light,green,20,Safe,82.52222,88.44445,5.92223,none,96.61111,1,4
light,green,30,Safe,40.57778,45.74445,5.16667,none,53.91111,1,5
light,green,30,Safe,90.32223,95.47778,5.15555,none,103.6444,1,5
light,green,30,Safe,115.2,120.9778,5.7778,none,129.1445,1,5
light,green,30,Safe,42.11111,48.16667,6.05556,none,56.33334,1,4
light,green,30,Safe,145.9889,151.6333,5.6444,none,159.8,1,4
light,green,30,Safe,43.12222,50.03333,6.91111,none,58.2,1,5
light,green,40,Safe,93.87778,97.63334,3.75556,none,105.8,1,4
light,green,40,Safe,138.4222,146.0667,7.6445,none,153.2333,1,5
light,green,40,Safe,133.1556,141.5333,8.3777,none,149.7,1,4
light,green,40,Safe,23.43333,29.93333,6.5,none,38.1,1,5
light,green,40,Safe,46.14445,54.2,8.05555,none,62.36667,1,5
light,green,40,Safe,22.4,30.94444,8.54444,none,39.11111,1,5
light,blue-red,20,Safe,20.63333,28.4,7.76667,none,36.56667,0,5
light,blue-red,20,Safe,5.011111,12.21111,7.199999,none,20.37778,0,5
light,blue-red,20,Safe,5.011111,12.68889,7.677779,none,20.85556,0,5
light,blue-red,20,Safe,148.8445,157.1445,8.3,none,164.3111,0,5
light,blue-red,20,Safe,83.91111,92.76667,8.85556,none,100.9333,0,5
light,blue-red,20,Safe,100.6222,108.8111,8.1889,none,116.9778,0,5
light,blue-red,30,Safe,57.92222,65.67778,7.75556,none,73.84444,0,5
light,blue-red,30,Safe,39.68889,47.16667,7.47778,none,55.33334,0,5
light,blue-red,30,Safe,40.8,48.65556,7.85556,none,56.82222,0,5
light,blue-red,30,Safe,128.8222,136.6667,7.8445,none,144.8333,0,5
light,blue-red,30,Safe,125.6889,133.8111,8.1222,none,141.9778,0,5
light,blue-red,30,Safe,62.21111,70.34444,8.13333,none,78.51112,0,5
light,blue-red,40,Safe,147.3,154.5889,7.2889,none,161.7556,0,5
light,blue-red,40,Safe,59.34444,62.41111,3.06667,none,70.57778,0,3
light,blue-red,40,Safe,153.7111,161.1667,7.4556,none,168.3333,0,5
light,blue-red,40,Safe,60.34444,68.32223,7.97779,none,76.48889,0,5
light,blue-red,40,Safe,104.9445,113.5111,8.5666,none,121.6778,0,5
light,blue-red,40,Safe,159.8,167.8889,8.0889,none,175.0556,0,5
light,Tblue-red,20,Safe,5.011111,8.455556,3.444445,none,16.62222,0,5
light,Tblue-red,20,Safe,24.38889,27.51111,3.12222,none,35.67778,0,5
light,Tblue-red,20,Safe,79.04445,83.07778,4.03333,none,91.24445,0,5
light,Tblue-red,20,Safe,80.5,85.3,4.8,none,93.46667,0,5
light,Tblue-red,20,Safe,66.37778,71.73334,5.35556,none,79.9,0,5
light,Tblue-red,20,Safe,5.011111,10.22222,5.211109,none,18.38889,0,5
light,Tblue-red,30,Safe,77.85556,81.7,3.84444,none,89.86667,0,3
light,Tblue-red,30,Safe,74.58889,78.14445,3.55556,none,86.31111,0,3
light,Tblue-red,30,Safe,95.25555,103.0222,7.76665,none,111.1889,0,5
light,Tblue-red,30,Safe,5.011111,11.25556,6.244449,none,19.42222,0,5
light,Tblue-red,30,Safe,5.011111,13.57778,8.566669,none,21.74445,0,3
light,Tblue-red,30,Safe,141.3778,147.6222,6.2444,none,155.7889,0,4
light,Tblue-red,40,Safe,127.8444,135.1222,7.2778,none,143.2889,0,2
light,Tblue-red,40,Ouch,125.6333,131.0778,5.4445,132.9111,134.4111,0,2
light,Tblue-red,40,Safe,24.86667,28.62222,3.75555,none,36.78889,0,4
light,Tblue-red,40,Ouch,97.47778,102.9778,5.50002,104.7556,106.2556,0,4
light,Tblue-red,40,Safe,25.75556,33.96667,8.21111,none,42.13334,0,4
light,Tblue-red,40,Safe,120.9889,129.2,8.2111,none,137.3667,0,3
nolight,green,20,Safe,22.87778,28.48889,5.61111,none,36.65556,1,4
nolight,green,20,Safe,5.011111,8.411111,3.4,none,16.57778,1,5
nolight,green,20,Safe,139.8556,144.9778,5.1222,none,153.1445,1,3
nolight,green,20,Safe,5.011111,9.466667,4.455556,none,17.63333,1,5
nolight,green,20,Safe,44.01111,49.66667,5.65556,none,57.83334,1,4
nolight,green,20,Safe,142.7778,146.7556,3.9778,none,154.9222,1,4
nolight,green,30,Safe,5.011111,10.7,5.688889,none,18.86667,1,4
nolight,green,30,Safe,33.14444,38.37778,5.23334,none,46.54445,1,5
nolight,green,30,Safe,102.1333,108.0889,5.9556,none,116.2556,1,3
nolight,green,30,Safe,42.53333,51.85556,9.32223,none,60.02222,1,5
nolight,green,30,Safe,5.011111,11.68889,6.677779,none,19.85556,1,4
nolight,green,30,Safe,100.0333,110.2333,10.2,none,118.4,1,3
nolight,green,40,Safe,79.78889,86.41111,6.62222,none,94.57778,1,3
nolight,green,40,Safe,69.81111,73.41111,3.6,none,81.57778,1,2
nolight,green,40,Safe,63.62222,70.6,6.97778,none,78.76667,1,5
nolight,green,40,Safe,84.56667,94.27778,9.71111,none,102.4445,1,5
nolight,green,40,Safe,136.8445,144.8111,7.9666,none,152.9778,1,4
nolight,green,40,Safe,5.011111,12.48889,7.477779,none,20.65556,1,3
nolight,blue-red,20,Safe,40.66667,48.21111,7.54444,none,56.37778,0,5
nolight,blue-red,20,Safe,85.58889,93.24445,7.65556,none,101.4111,0,5
nolight,blue-red,20,Safe,24.71111,32,7.28889,none,40.16667,0,5
nolight,blue-red,20,Safe,64.03333,72.38889,8.35556,none,80.55556,0,5
nolight,blue-red,20,Safe,61.84444,70.14445,8.30001,none,78.31111,0,3
nolight,blue-red,20,Safe,122.4111,130.6,8.1889,none,138.7667,0,4
nolight,blue-red,30,Safe,137.3778,144.4333,7.0555,none,152.6,0,5
nolight,blue-red,30,Safe,50.55556,57.63334,7.07778,none,65.8,0,5
nolight,blue-red,30,Safe,44.17778,51.44445,7.26667,none,59.61111,0,5
nolight,blue-red,30,Safe,147.4444,156.9,9.4556,none,165.0667,0,5
nolight,blue-red,30,Safe,156.9889,164.9889,8,none,172.1556,0,4
nolight,blue-red,30,Safe,24.66667,33.04445,8.37778,none,41.21111,0,4
nolight,blue-red,40,Safe,118.2444,125.2,6.9556,none,133.3667,0,5
nolight,blue-red,40,Ouch,20.58889,24.7,4.11111,27.63333,29.13333,0,4
nolight,blue-red,40,Safe,157.1556,164.4667,7.3111,none,171.6333,0,5
nolight,blue-red,40,Safe,169.0778,177.3667,8.2889,none,184.5333,0,5
nolight,blue-red,40,Safe,116.6556,124.6667,8.0111,none,132.8333,0,5
nolight,blue-red,40,Ouch,158.9333,162.9889,4.0556,165.9778,166.4778,0,4
nolight,Tblue-red,20,Safe,98.58889,106.0667,7.47781,none,114.2333,0,5
nolight,Tblue-red,20,Safe,105.4222,112.6111,7.1889,none,120.7778,0,5
nolight,Tblue-red,20,Safe,5.011111,12.53333,7.522219,none,20.7,0,5
nolight,Tblue-red,20,Safe,106.4556,114.4778,8.0222,none,122.6444,0,5
nolight,Tblue-red,20,Ouch,82.32223,90.32223,8,91.06667,92.56667,0,3
nolight,Tblue-red,20,Safe,45.22223,50.34444,5.12221,none,58.51111,0,5
nolight,Tblue-red,30,Safe,156.6111,163.7889,7.1778,none,170.9556,1,5
nolight,Tblue-red,30,Safe,124.7889,132.2222,7.4333,none,140.3889,0,5
nolight,Tblue-red,30,Safe,120.2667,127.6778,7.4111,none,135.8445,0,5
nolight,Tblue-red,30,Safe,21.64445,30.35556,8.71111,none,38.52222,0,5
nolight,Tblue-red,30,Safe,23.86667,31.83333,7.96666,none,40,0,5
nolight,Tblue-red,30,Safe,62.52222,67.64445,5.12223,none,75.81111,0,4
nolight,Tblue-red,40,Safe,60.38889,67.61111,7.22222,none,75.77778,0,5
nolight,Tblue-red,40,Safe,144.4,151.8111,7.4111,none,158.9778,0,5
nolight,Tblue-red,40,Safe,82.77778,89.95556,7.17778,none,98.12222,0,5
nolight,Tblue-red,40,Safe,126.6556,135.2667,8.6111,none,143.4333,0,5
nolight,Tblue-red,40,Safe,96.57778,104.4778,7.90002,none,112.6444,0,5
nolight,Tblue-red,40,Safe,79.82223,87.85556,8.03333,none,96.02222,0,5
